,Time,Subcar_0,Subcar_1,Subcar_2,Subcar_3,Subcar_4,Subcar_5,Subcar_6,Subcar_7,Subcar_8,Subcar_9,Subcar_10,Subcar_11,Subcar_12,Subcar_13,Subcar_14,Subcar_15,Subcar_16,Subcar_17,Subcar_18,Subcar_19,Subcar_20,Subcar_21,Subcar_22,Subcar_23,Subcar_24,Subcar_25,Subcar_26,Subcar_27,Subcar_28,Subcar_29,Subcar_30,Subcar_31,Subcar_32,Subcar_33,Subcar_34,Subcar_35,Subcar_36Subcar_37,Subcar_38,Subcar_39,Subcar_40,Subcar_41,Subcar_42,Subcar_43,Subcar_44,Subcar_45,Subcar_46,Subcar_47,Subcar_48,Subcar_49,Subcar_50,Subcar_51,Subcar_52,Subcar_53,Subcar_54,Subcar_55,Subcar_56,Subcar_57,Subcar_58,Subcar_59,Subcar_60,Subcar_61
20,1641598556,5499.938181,7461.867126,6230.129694,8741.921642,738.5641475,764.628668,780.5158551,768.5844131,745.4106251,730.0109588,708.8018059,698.4017468,700.925103,724.3479827,780.062177,833.8662962,888.9415054,937.902447,954.4176235,942.3587427,927.2033218,914.1925399,889.0320579,850.988249,820.1420609,776.5828996,739.6053001,687.0647713,627.7714552,553.9187666,443.9211642,281.0017794,6669.443305,260.2844598,359.5622338,421.9004622,434.4007366,425.9201803,405.6168142,389.9794866,392.5519074,391.3157293,392.0739726,394.9746827,389.4868419,396.7694545,410.3084206,408.1629577,405.1320772,390.8004606,371.1616898,353.956212,347.7614125,372.6620453,385.01948,411.0985283,432.3944958,455.8826603,468.2841018,481.5495821,488.0256141
21,1641598556,5499.938181,7461.867126,6230.129694,8741.921642,690.9247426,699.5462815,708.1384046,675.9319492,646.845422,620.6971887,605.2478831,600.240785,580.1603227,606.4470298,637.8118845,699.4926733,749.1548572,789.8468206,822.3241453,789.8461876,765.4051215,764.2676233,749.2462879,731.4895761,725.5404882,725.5404882,652.2284876,612.0694405,568.190989,521.6138418,425.8227331,258.6058777,6669.443305,260.403533,389.3096454,440.4474997,472.0010593,480.1260251,494.1588813,516.2111971,520.8080261,507.1587523,522.9034328,524.2060664,546.2133283,561.287805,573.1352371,566.9744262,530.2687998,509.8676299,483.9442117,453.1313275,449.9344397,443.1568571,470.1063709,485.2319033,505.0831615,522.6643282,516.3642125,509.6636146,513.1627422
22,1641598557,5499.938181,7461.867126,6230.129694,8741.921642,300.9269014,287.1550104,280.585103,296.0270258,303.7647116,329.0288741,348.2097069,359.2798352,398.1067696,440.9002155,489.9816323,539.4747445,609.3291393,657.9612451,675.5183195,675.4331943,681.7990906,704.6374955,712.67454,704.4693038,693.8623783,686.6039615,693.8659813,689.5578293,696.9146289,668.6239601,588.9626474,398.8107321,6669.443305,433.2805096,665.0067669,792.3761733,856.201495,894.504332,916.5484166,930.6003439,940.8443017,952.7234646,963.6830392,973.0184993,944.614207,934.4757889,925.2242971,900.5892515,844.8266094,759.5584243,705.8363833,640.7027392,593.5764483,565.5333766,573.0794011,577.169819,581.4774286,575.7647089,577.1906098,563.8386294,551.6611279
23,1641598557,5499.938181,7461.867126,6230.129694,8741.921642,717.6196764,726.3504664,714.8405417,724.9531019,683.1873828,728.0453283,675.8254212,686.0852717,701.655186,738.3989437,799.3253405,855.6272553,930.9935553,975.7771262,1032.298406,1059.885371,1077.085883,1058.675115,1097.524943,1058.157833,1120.025446,1051.189802,1092.535583,1084.995853,1028.250942,1004.972636,993.8551202,991.5830777,6669.443305,954.9497369,959.6634827,952.8410151,887.3387177,910.8786966,863.45411,799.242141,771.3935442,771.0933796,711.5679869,703.0796541,642.3239058,633.4934885,606.011551,553.1771868,485.5697684,413.6278521,375.8896115,329.0045592,276.327704,256.6281356,291.2198482,236.3937393,253,228.9890827,240.6345777,221.4362211,180.3801541
24,1641598558,5499.938181,7461.867126,6230.129694,8741.921642,419.3149175,397.9359245,324.7799255,250.3916932,187.9707424,143.7810836,126.1269202,135.2035502,160.5272563,226.1526033,277.6832728,328.2575209,388.4443332,433.4570336,469.6594511,483.5411048,495.2918332,480.026041,431.0661202,385.736957,336.9332278,199.01005,251.1991242,252.6756815,277.8236851,299.3760177,340.4717316,456.6946463,6669.443305,466.0922655,648.9260358,714.9132815,819.0543328,854.8496944,893.0274352,998.0405803,990.3534723,1032.174888,1034.965217,1111.337932,1149.415504,1121.278734,1201.586035,1249.832389,1249.801984,1160.440003,1088.628954,1068.131078,996.7431966,985.6611994,1012.814396,1019.620027,1010.029703,1006.50534,1042.682118,1041.297748,1002.45748
25,1641598558,5499.938181,7461.867126,6230.129694,8741.921642,395.6121838,377.4135663,333.0975833,290.6441123,246.292509,199.6196383,180.1554884,179.3543978,248.6222034,294.2413975,349.2005155,400.8004491,431.9363379,468.3641745,478.2102048,485.2813617,473.4395421,449.0400873,421.4736053,390.0820427,347.0216132,224.8399431,300.1882743,285.1613578,329.1959903,362.416887,404.2239478,508.9145311,6669.443305,621.1360559,740.5869294,798.0507503,915.9328578,970.1798802,1067.384186,1095.494865,1164.879393,1280.30387,1303.299275,1356.348775,1370.664437,1321.614543,1354.341168,1311.291348,1293.33445,1216.562781,1138.548198,1108.433579,1042.790487,1026.548586,1005.032338,1021.992661,1051.780395,1053.786031,1073.301915,1096.853682,1128.687734
26,1641598558,5499.938181,7461.867126,6230.129694,8741.921642,390.1499712,352.1207179,370.9123886,388.6656661,401.7822794,398.3026487,347.6391808,312.1361882,416.2607356,417.6469801,424.6469122,479.8510185,511.4538102,545.2641562,557.2297551,583.8099006,593.3540259,592.0008446,588.228697,610.1032699,612.9445326,615.5988954,656.5135185,675.8409576,691.0028943,704.1832148,726.1790413,746.2338775,6669.443305,773.0103492,794.6099672,810.3752217,839.9261872,850.3675676,875.9566199,909.7235844,894.8994357,917.6824069,933.8784718,961.1311045,966.5081479,987.3611295,946.4723979,963.0519197,910.9780458,867.2035517,829.1791121,871.1417795,835.2107518,739.4653474,885.2073203,923.4094433,896.8623083,901.6235356,904.834239,909.9983516,891.165529
27,1641598558,5499.938181,7461.867126,6230.129694,8741.921642,378.343759,396.8941924,398.9235516,384.666089,353.1600204,341.2755485,325.9033599,337.7484271,351.6887829,370.5266522,394.9202451,429.1316814,467.800171,506.5027147,536.7951192,565.0353971,581.2581182,591.9949324,603.3837916,608.6222145,609.1994747,640.019531,632.2633945,653.6206851,676.8256792,696.416542,715.6214083,754.4461545,6669.443305,792.0770165,790.626334,816.2971273,835.9336098,856.6498701,888.9600666,912.7524308,914.5621903,942.9363711,941.8476522,950.8154395,1007.491935,1006.718431,971.7458515,975.6239029,906.9691285,833.664201,837.2837034,800.6528586,731.7485907,688.7742736,759.4162232,762.8171472,863.1813251,887.8045956,882.3990027,908.7315335,861.5317754
28,1641598558,5499.938181,7461.867126,6230.129694,8741.921642,278.6036611,307.8002599,325.9601203,319.7764844,299.8833106,282.2144575,262.3451924,287.3116775,268.9014689,287.4334706,317.9701244,350.7720057,390.2166065,423.1808124,446.2398458,461.4683088,469.802086,476.5259699,472.0550815,465.1021393,472.2001694,494.0333997,502.0328674,507.8237883,512.6499781,512.6499781,393.192065,281.1494265,6669.443305,305.2212312,444.2994486,560.4828276,648.2136993,665.7762387,683.289836,693.2712312,708.0748548,718.9172414,737.1736566,784.4979286,804.3015604,797.6289864,792.8795621,811.4209758,796.246821,747.2944533,685.6857881,690.07246,670.3857099,727.1547291,639.8476381,672.2596225,702.0113959,677.9387878,652.4078479,617.6932896,583.2160835
29,1641598558,5499.938181,7461.867126,6230.129694,8741.921642,313.9681513,318.2467596,321.0809867,307.650776,287.9027614,258.9555946,262.5509474,269.595994,281.0925115,298.8260363,341.3693015,380.0631526,416.8117081,448.3681523,469.920206,483.7075563,490.8054604,497.9738949,501.0638682,507.862186,506.2193201,507.4347249,532.5805103,533.0759796,524.1574191,493.5433112,405.6599561,289.0069203,6669.443305,318.9811907,471.2218161,589.4064811,650.8118008,674.1668933,714.1631466,716.9135234,721.9175853,757.5810188,764.7934362,767.7707991,772.8525086,795.8002262,766.172957,790.6971607,773.2121313,717.6196764,664.2808141,627.2710738,582.6044971,650.6466015,606.7124525,620.7422976,654.4875858,685.090505,714.6047859,686.2776406,660.1704325
